"metric","x","value","group","x_unit","unit","definition","fishery","display_name","fishery_name","group_label"
"selectivity",10,2.32299514662942,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",11,2.64549501896876,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",12,2.64549501896876,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",1,2.06115362243856e-09,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",2,0.0423572424339195,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",3,0.44460063136902,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",4,1.2393642573893,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",5,1.38763004345824,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",6,1.56140855209448,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",7,1.73502252799539,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",8,1.85304113145235,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",9,1.91885833091602,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",10,1.95014424409122,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",11,1.9622179838937,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",12,1.9622179838937,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",8,,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",1,2.06115362243856e-09,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",2,0.00133348334211247,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",3,0.0800174852979291,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",4,1.08825177307133,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",5,2.0573215917241,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",6,2.16701829626846,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",7,2.02403475262923,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",8,1.89988963599032,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",9,1.8280025759909,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",10,1.79334789269176,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",11,1.77978162875866,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",9,,"9.LL.PICT.1cd","9.LL.PICT.1cd"
