"axis","series","bin_unit","bin","variance","predicted","observed","fitted_predicted","lower","upper","unit","n_samples","probability","effective_sample_size","effective_size_type","effective_size_definition","uncertainty","scope","region","group"
"length","F11_R1","cm",67,340054.53402139,7540.12329947672,6426,7540.12329947672,6397.18607931391,8683.06051963954,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",69,349892.712104838,7026.67171536438,6756,7026.67171536438,5867.31911791539,8186.02431281336,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",71,329138.6053675,6743.21763163755,6116,6743.21763163755,5618.77448108705,7867.66078218806,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",73,293948.662542282,5633.27897760321,4888,5633.27897760321,4570.64466489056,6695.91329031586,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",75,245316.203768882,3827.31085744186,3060,3827.31085744186,2856.55234224502,4798.0693726387,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",77,205131.433498129,2165.26415211254,1599,2165.26415211254,1277.56828380345,3052.96002042162,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",79,178743.490235197,1122.03645302216,943,1122.03645302216,293.401577334657,1950.67132870967,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",81,154813.672039233,610.836029582139,550,610.836029582139,0,1382.01068296434,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",83,102100.211163569,367.054713584014,237,367.054713584014,0,993.324429256923,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",85,44861.6147411089,237.281458027366,89,237.281458027366,0,652.412817548439,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
