"time","axis","series","series_label","record","region","bin","bin_lower","bin_upper","bin_unit","observed","predicted","raw_sample_size","weighting_total","tail_compressed","prediction_scope"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",89,88,90,"cm",0.0446974686226819,0.0458322168101508,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",91,90,92,"cm",0.112429386997192,0.0693685628085764,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",93,92,94,"cm",0.0794780524459898,0.0942517828746652,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",95,94,96,"cm",0.153294372657271,0.115229869359585,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",97,96,98,"cm",0.114027602487934,0.126990999654993,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",99,98,100,"cm",0.114433953383626,0.126321681608651,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",101,100,102,"cm",0.143657775709935,0.113516106806946,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",103,102,104,"cm",0.0592630403330467,0.0922034696537546,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",105,104,106,"cm",0.0589136579964771,0.0677122460076905,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",107,106,108,"cm",0.0381530511255878,0.0449727625020583,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",109,108,110,"cm",0.0248182131217256,0.0269176441952797,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",111,110,112,"cm",0.00603533500872947,0.0146490322652917,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",113,112,114,"cm",0,0.00709612196574143,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",115,114,116,"cm",0,0.00286003427392169,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",117,116,118,"cm",0,0.00101068197111274,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",119,118,120,"cm",0,2.19439656208068e-05,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",121,120,122,"cm",0,0,450.955878801903,2.74973096830429,FALSE,"complete"
