"time","metric","group","value","unit","definition","model","label"
2046,"total_biomass","all",2982593.95042062,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2046,"biomass_depletion","all",0.945338299230407,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2046,"fishing_mortality","all",0.0152521860617962,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2046,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2047,"total_biomass","all",2987986.54728357,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2047,"biomass_depletion","all",0.947047492111369,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2047,"fishing_mortality","all",0.0152244489288504,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2047,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2048,"total_biomass","all",2987776.56968213,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2048,"biomass_depletion","all",0.946980939348264,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2048,"fishing_mortality","all",0.01522552707295,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2048,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2049,"total_biomass","all",2989132.60885818,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2049,"biomass_depletion","all",0.947410738305037,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2049,"fishing_mortality","all",0.0152185670887341,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2049,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2050,"total_biomass","all",2986567.89780187,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2050,"biomass_depletion","all",0.946597848710178,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2050,"fishing_mortality","all",0.0152317360504479,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2050,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2051,"total_biomass","all",2985586.71932191,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
